 [DEBUG] 2019-08-15 20:07:23,733 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\core\files\locks.py first seen with mtime 1557894919.3102732
 [DEBUG] 2019-08-15 20:07:23,733 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\exta_apps\xadmin\plugins\quickform.py first seen with mtime 1565870663.3382988
 [DEBUG] 2019-08-15 20:07:23,733 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\crispy_forms\layout_slice.py first seen with mtime 1557895161.8940744
 [DEBUG] 2019-08-15 20:07:23,733 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1557894919.4738357
 [DEBUG] 2019-08-15 20:07:23,733 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\apps\utils\views.py first seen with mtime 1565870662.779791
 [DEBUG] 2019-08-15 20:07:23,734 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\pymysql\__init__.py first seen with mtime 1557893925.0254304
 [DEBUG] 2019-08-15 20:07:23,734 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\attr\_compat.py first seen with mtime 1557895787.3244061
 [DEBUG] 2019-08-15 20:07:23,734 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1557894918.4276316
 [DEBUG] 2019-08-15 20:07:23,734 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1557894919.6473718
 [DEBUG] 2019-08-15 20:07:23,735 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\requests\compat.py first seen with mtime 1562207327.4799623
